,Service Name,Transport Protocol,Description
623,"oob-ws-http, asf-rmcp","tcp, udp","ASF Remote Management and Control Protocol, DMTF out-of-band web services management protocol"
624,cryptoadmin,"tcp, udp",Crypto Admin
625,"dec_dlm, dec-dlm","tcp, udp","DEC DLM
IANA assigned this well-formed service name as a replacement for ""dec_dlm""., DEC DLM"
626,asia,"tcp, udp",ASIA
627,passgo-tivoli,"tcp, udp",PassGo Tivoli
628,qmqp,"tcp, udp",QMQP
629,3com-amp3,"tcp, udp",3Com AMP3
630,rda,"tcp, udp",RDA
631,"ipps, ipp","tcp, udp","IPP (Internet Printing Protocol), Internet Printing Protocol over HTTPS"
632,bmpp,"tcp, udp",bmpp
633,servstat,"tcp, udp",Service Status update (Sterling Software)
634,ginad,"tcp, udp",ginad
635,rlzdbase,"tcp, udp",RLZ DBase
636,ldaps,"tcp, udp",ldap protocol over TLS/SSL (was sldap)
637,lanserver,"tcp, udp",lanserver
638,mcns-sec,"tcp, udp",mcns-sec
639,msdp,"tcp, udp",MSDP
640,entrust-sps,"tcp, udp",entrust-sps
641,repcmd,"tcp, udp",repcmd
642,esro-emsdp,"tcp, udp",ESRO-EMSDP V1.3
643,sanity,"tcp, udp",SANity
644,dwr,"tcp, udp",dwr
645,pssc,"tcp, udp",PSSC
646,ldp,"tcp, udp",LDP
647,dhcp-failover,"tcp, udp",DHCP Failover
648,rrp,"tcp, udp",Registry Registrar Protocol (RRP)
649,cadview-3d,"tcp, udp",Cadview-3d - streaming 3d models over the internet
650,obex,"tcp, udp",OBEX
651,ieee-mms,"tcp, udp",IEEE MMS
652,hello-port,"tcp, udp",HELLO_PORT
653,repscmd,"tcp, udp",RepCmd
654,aodv,"tcp, udp",AODV
655,tinc,"tcp, udp",TINC
656,spmp,"tcp, udp",SPMP
657,rmc,"tcp, udp",RMC
658,tenfold,"tcp, udp",TenFold
659,nan,,Removed
660,mac-srvr-admin,"tcp, udp",MacOS Server Admin
661,hap,"tcp, udp",HAP
662,pftp,"tcp, udp",PFTP
663,purenoise,"tcp, udp",PureNoise
664,"oob-ws-https, asf-secure-rmcp","tcp, udp","DMTF out-of-band secure web services management protocol, ASF Secure Remote Management and Control Protocol"
665,sun-dr,"tcp, udp",Sun DR
666,"doom, mdqs","tcp, udp","doom Id Software, nan"
667,disclose,"tcp, udp",campaign contribution disclosures - SDR Technologies
668,mecomm,"tcp, udp",MeComm
669,meregister,"tcp, udp",MeRegister
670,vacdsm-sws,"tcp, udp",VACDSM-SWS
671,vacdsm-app,"tcp, udp",VACDSM-APP
672,vpps-qua,"tcp, udp",VPPS-QUA
673,cimplex,"tcp, udp",CIMPLEX
674,acap,"tcp, udp",ACAP
675,dctp,"tcp, udp",DCTP
676,vpps-via,"tcp, udp",VPPS Via
677,vpp,"tcp, udp",Virtual Presence Protocol
678,ggf-ncp,"tcp, udp",GNU Generation Foundation NCP
679,mrm,"tcp, udp",MRM
680,entrust-aaas,"tcp, udp",entrust-aaas
681,entrust-aams,"tcp, udp",entrust-aams
682,xfr,"tcp, udp",XFR
683,corba-iiop,"tcp, udp",CORBA IIOP
684,corba-iiop-ssl,"tcp, udp",CORBA IIOP SSL
685,mdc-portmapper,"tcp, udp",MDC Port Mapper
686,hcp-wismar,"tcp, udp",Hardware Control Protocol Wismar
687,asipregistry,"tcp, udp",asipregistry
688,realm-rusd,"tcp, udp",ApplianceWare managment protocol
689,nmap,"tcp, udp",NMAP
690,vatp,"tcp, udp",Velneo Application Transfer Protocol
691,msexch-routing,"tcp, udp",MS Exchange Routing
692,hyperwave-isp,"tcp, udp",Hyperwave-ISP
693,connendp,"tcp, udp",almanid Connection Endpoint
694,ha-cluster,"tcp, udp",ha-cluster
695,ieee-mms-ssl,"tcp, udp",IEEE-MMS-SSL
696,rushd,"tcp, udp",RUSHD
697,uuidgen,"tcp, udp",UUIDGEN
698,olsr,"tcp, udp",OLSR
699,accessnetwork,"tcp, udp",Access Network
700,epp,"tcp, udp",Extensible Provisioning Protocol
701,lmp,"tcp, udp",Link Management Protocol (LMP)
702,iris-beep,"tcp, udp",IRIS over BEEP
704,elcsd,"tcp, udp",errlog copy/server daemon
705,agentx,"tcp, udp",AgentX
706,silc,"tcp, udp",SILC
707,borland-dsj,"tcp, udp",Borland DSJ
709,entrust-kmsh,"tcp, udp",Entrust Key Management Service Handler
710,entrust-ash,"tcp, udp",Entrust Administration Service Handler
711,cisco-tdp,"tcp, udp",Cisco TDP
712,tbrpf,"tcp, udp",TBRPF
713,iris-xpc,"tcp, udp",IRIS over XPC
714,iris-xpcs,"tcp, udp",IRIS over XPCS
715,iris-lwz,"tcp, udp",IRIS-LWZ
716,pana,udp,PANA Messages
729,netviewdm1,"tcp, udp",IBM NetView DM/6000 Server/Client
730,netviewdm2,"tcp, udp",IBM NetView DM/6000 send/tcp
731,netviewdm3,"tcp, udp",IBM NetView DM/6000 receive/tcp
741,netgw,"tcp, udp",netGW
742,netrcs,"tcp, udp",Network based Rev. Cont. Sys.
744,flexlm,"tcp, udp",Flexible License Manager
747,fujitsu-dev,"tcp, udp",Fujitsu Device Control
748,ris-cm,"tcp, udp",Russell Info Sci Calendar Manager
749,kerberos-adm,"tcp, udp",kerberos administration
750,"kerberos-iv, rfile, loadav","tcp, udp","kerberos version iv, nan"
751,pump,"tcp, udp",nan
752,qrh,"tcp, udp",nan
753,rrh,"tcp, udp",nan
754,tell,"tcp, udp",send
758,nlogin,"tcp, udp",nan
759,con,"tcp, udp",nan
760,ns,"tcp, udp",nan
761,rxe,"tcp, udp",nan
762,quotad,"tcp, udp",nan
763,cycleserv,"tcp, udp",nan
764,omserv,"tcp, udp",nan
765,webster,"tcp, udp",nan
767,phonebook,"tcp, udp",phone
769,vid,"tcp, udp",nan
770,cadlock,"tcp, udp",nan
771,rtip,"tcp, udp",nan
772,cycleserv2,"tcp, udp",nan
773,"submit, notify","tcp, udp",nan
774,"rpasswd, acmaint_dbd, acmaint-dbd","tcp, udp","nan, IANA assigned this well-formed service name as a replacement for ""acmaint_dbd""."
775,"entomb, acmaint_transd, acmaint-transd","tcp, udp","IANA assigned this well-formed service name as a replacement for ""acmaint_transd""., nan"
776,wpages,"tcp, udp",nan
777,multiling-http,"tcp, udp",Multiling HTTP
780,wpgs,"tcp, udp",nan
788,nan,,Unassigned
789,nan,,Unassigned
790,nan,,Unassigned
791,nan,,Unassigned
792,nan,,Unassigned
793,nan,,Unassigned
794,nan,,Unassigned
795,nan,,Unassigned
796,nan,,Unassigned
797,nan,,Unassigned
798,nan,,Unassigned
799,nan,,Unassigned
800,"mdbs_daemon, mdbs-daemon","tcp, udp","IANA assigned this well-formed service name as a replacement for ""mdbs_daemon""., nan"
801,device,"tcp, udp",nan
802,mbap-s,"tcp, udp",Modbus Application Protocol Secure
810,fcp-udp,"tcp, udp","FCP, FCP Datagram"
828,itm-mcell-s,"tcp, udp",itm-mcell-s
829,pkix-3-ca-ra,"tcp, udp",PKIX-3 CA/RA
830,netconf-ssh,"tcp, udp",NETCONF over SSH
831,netconf-beep,"tcp, udp",NETCONF over BEEP
832,netconfsoaphttp,"tcp, udp",NETCONF for SOAP over HTTPS
833,netconfsoapbeep,"tcp, udp",NETCONF for SOAP over BEEP
847,dhcp-failover2,"tcp, udp",dhcp-failover 2
848,gdoi,"tcp, udp",GDOI
853,domain-s,"tcp, udp","DNS query-response protocol run over TLS, DNS query-response protocol run over DTLS or QUIC"
854,dlep,"tcp, udp",Dynamic Link Exchange Protocol (DLEP)
860,iscsi,"tcp, udp",iSCSI
861,"owamp-test, owamp-control","tcp, udp","OWAMP-Control, OWAMP-Test"
862,"twamp-test, twamp-control","tcp, udp","TWAMP-Test Receiver Port, TWAMP-Control"
873,rsync,"tcp, udp",rsync
886,iclcnet-locate,"tcp, udp",ICL coNETion locate server
887,"iclcnet-svinfo, iclcnet_svinfo","tcp, udp","ICL coNETion server info
IANA assigned this well-formed service name as a replacement for ""iclcnet_svinfo""., ICL coNETion server info"
888,"cddbp, accessbuilder","tcp, udp","CD Database Protocol, AccessBuilder"
900,omginitialrefs,"tcp, udp",OMG Initial Refs
901,smpnameres,"tcp, udp",SMPNAMERES
902,ideafarm-door,"tcp, udp","self documenting Telnet Door, self documenting Door: send 0x00 for info"
903,ideafarm-panic,"tcp, udp","self documenting Panic Door: send 0x00 for info, self documenting Telnet Panic Door"
910,kink,"tcp, udp",Kerberized Internet Negotiation of Keys (KINK)
911,xact-backup,"tcp, udp",xact-backup
912,apex-mesh,"tcp, udp",APEX relay-relay service
913,apex-edge,"tcp, udp",APEX endpoint-relay service
914,rift-lies,"tcp, udp",Routing in Fat Trees Link Information Element
915,rift-ties,"tcp, udp",Routing in Fat Trees Topology Information Element
953,rndc,"tcp, udp",BIND9 remote name daemon controller
989,ftps-data,"tcp, udp","ftp protocol, over TLS/SSL, data"
990,ftps,"tcp, udp","ftp protocol, control, over TLS/SSL"
991,nas,"tcp, udp",Netnews Administration System
992,telnets,"tcp, udp",telnet protocol over TLS/SSL
993,imaps,"tcp, udp",IMAP over TLS protocol
995,pop3s,"tcp, udp","POP3 over TLS protocol, pop3 protocol over TLS/SSL (was spop3)"
996,vsinet,"tcp, udp",vsinet
997,maitrd,"tcp, udp",nan
998,"puparp, busboy","tcp, udp",nan
999,"garcon, applix, puprouter","tcp, udp","nan, Applix ac"
1000,cadlock2,"tcp, udp",nan
1001,webpush,"tcp, udp",HTTP Web Push
1008,nan,udp,Possibly used by Sun Solaris????
1010,surf,"tcp, udp",surf
1011,nan,,Reserved
1012,nan,,Reserved
1013,nan,,Reserved
1014,nan,,Reserved
1015,nan,,Reserved
1016,nan,,Reserved
1017,nan,,Reserved
1018,nan,,Reserved
1019,nan,,Reserved
1020,nan,,Reserved
1021,exp1,"sctp, tcp, dccp, udp",RFC3692-style Experiment 1
1022,exp2,"sctp, tcp, dccp, udp",RFC3692-style Experiment 2
1025,blackjack,"tcp, udp",network blackjack
1026,cap,"tcp, udp",Calendar Access Protocol
1027,"nan, 6a44","tcp, udp","Reserved, IPv6 Behind NAT44 CPEs"
1028,nan,,Deprecated
1029,solid-mux,"tcp, udp",Solid Mux Server
1033,netinfo-local,"tcp, udp",local netinfo port
1034,activesync,"tcp, udp",ActiveSync Notifications
1035,mxxrlogin,"tcp, udp",MX-XR RPC
1036,nsstp,"tcp, udp",Nebula Secure Segment Transfer Protocol
1037,ams,"tcp, udp",AMS
1038,mtqp,"tcp, udp",Message Tracking Query Protocol
1039,sbl,"tcp, udp",Streamlined Blackhole
1040,netarx,"tcp, udp",Netarx Netcare
1041,danf-ak2,"tcp, udp",AK2 Product
1042,afrog,"tcp, udp",Subnet Roaming
1043,boinc-client,"tcp, udp",BOINC Client Control
1044,dcutility,"tcp, udp",Dev Consortium Utility
1045,fpitp,"tcp, udp",Fingerprint Image Transfer Protocol
1046,wfremotertm,"tcp, udp",WebFilter Remote Monitor
1047,neod1,"tcp, udp",Sun's NEO Object Request Broker
1048,neod2,"tcp, udp",Sun's NEO Object Request Broker
1049,td-postman,"tcp, udp",Tobit David Postman VPMN
1050,cma,"tcp, udp",CORBA Management Agent
1051,optima-vnet,"tcp, udp",Optima VNET
1052,ddt,"tcp, udp",Dynamic DNS Tools
1053,remote-as,"tcp, udp",Remote Assistant (RA)
1054,brvread,"tcp, udp",BRVREAD
1055,ansyslmd,"tcp, udp",ANSYS - License Manager
1056,vfo,"tcp, udp",VFO
1057,startron,"tcp, udp",STARTRON
1058,nim,"tcp, udp",nim
1059,nimreg,"tcp, udp",nimreg
1060,polestar,"tcp, udp",POLESTAR
1061,kiosk,"tcp, udp",KIOSK
1062,veracity,"tcp, udp",Veracity
1063,kyoceranetdev,"tcp, udp",KyoceraNetDev
1064,jstel,"tcp, udp",JSTEL
1065,syscomlan,"tcp, udp",SYSCOMLAN
1066,fpo-fns,"tcp, udp",FPO-FNS
1067,"instl-boots, instl_boots","tcp, udp","Installation Bootstrap Proto. Serv., Installation Bootstrap Proto. Serv.
IANA assigned this well-formed service name as a replacement for ""instl_boots""."
1068,"instl_bootc, instl-bootc","tcp, udp","Installation Bootstrap Proto. Cli.
IANA assigned this well-formed service name as a replacement for ""instl_bootc""., Installation Bootstrap Proto. Cli."
1069,cognex-insight,"tcp, udp",COGNEX-INSIGHT
1070,gmrupdateserv,"tcp, udp",GMRUpdateSERV
1071,bsquare-voip,"tcp, udp",BSQUARE-VOIP
1072,cardax,"tcp, udp",CARDAX
1073,bridgecontrol,"tcp, udp",Bridge Control
1074,warmspotMgmt,"tcp, udp",Warmspot Management Protocol
1075,rdrmshc,"tcp, udp",RDRMSHC
1076,dab-sti-c,"tcp, udp",DAB STI-C
1077,imgames,"tcp, udp",IMGames
1078,avocent-proxy,"tcp, udp",Avocent Proxy Protocol
1079,asprovatalk,"tcp, udp",ASPROVATalk
1080,socks,"tcp, udp",Socks
1081,pvuniwien,"tcp, udp",PVUNIWIEN
1082,amt-esd-prot,"tcp, udp",AMT-ESD-PROT
1083,ansoft-lm-1,"tcp, udp",Anasoft License Manager
1084,ansoft-lm-2,"tcp, udp",Anasoft License Manager
1085,webobjects,"tcp, udp",Web Objects
1086,cplscrambler-lg,"tcp, udp",CPL Scrambler Logging
1087,cplscrambler-in,"tcp, udp",CPL Scrambler Internal
1088,cplscrambler-al,"tcp, udp",CPL Scrambler Alarm Log
1089,ff-annunc,"tcp, udp",FF Annunciation
1090,ff-fms,"tcp, udp",FF Fieldbus Message Specification
1091,ff-sm,"tcp, udp",FF System Management
1092,obrpd,"tcp, udp",Open Business Reporting Protocol
1093,proofd,"tcp, udp",PROOFD
1094,rootd,"tcp, udp",ROOTD
1095,nicelink,"tcp, udp",NICELink
1096,cnrprotocol,"tcp, udp",Common Name Resolution Protocol
1097,sunclustermgr,"tcp, udp",Sun Cluster Manager
1098,rmiactivation,"tcp, udp",RMI Activation
1099,rmiregistry,"tcp, udp",RMI Registry
1100,mctp,"tcp, udp",MCTP
1101,pt2-discover,"tcp, udp",PT2-DISCOVER
1102,adobeserver-1,"tcp, udp",ADOBE SERVER 1
1103,adobeserver-2,"tcp, udp",ADOBE SERVER 2
1104,xrl,"tcp, udp",XRL
1105,ftranhc,"tcp, udp",FTRANHC
1106,isoipsigport-1,"tcp, udp",ISOIPSIGPORT-1
1107,isoipsigport-2,"tcp, udp",ISOIPSIGPORT-2
1108,ratio-adp,"tcp, udp",ratio-adp
1109,nan,,Reserved - IANA
1110,"nfsd-keepalive, webadmstart","tcp, udp","Start web admin server, Client status info"
1111,lmsocialserver,"tcp, udp",LM Social Server
1112,icp,"tcp, udp",Intelligent Communication Protocol
1113,ltp-deepspace,"tcp, dccp, udp",Licklider Transmission Protocol
1114,mini-sql,"tcp, udp",Mini SQL
1115,ardus-trns,"tcp, udp",ARDUS Transfer
1116,ardus-cntl,"tcp, udp",ARDUS Control
1117,ardus-mtrns,"tcp, udp",ARDUS Multicast Transfer
1118,sacred,"tcp, udp",SACRED
1119,bnetgame,"tcp, udp",Battle.net Chat/Game Protocol
1120,bnetfile,"tcp, udp",Battle.net File Transfer Protocol
1121,rmpp,"tcp, udp",Datalode RMPP
1122,availant-mgr,"tcp, udp",availant-mgr
1123,murray,"tcp, udp",Murray
1124,hpvmmcontrol,"tcp, udp",HP VMM Control
1125,hpvmmagent,"tcp, udp",HP VMM Agent
1126,hpvmmdata,"tcp, udp",HP VMM Agent
1127,kwdb-commn,"tcp, udp",KWDB Remote Communication
1128,saphostctrl,"tcp, udp",SAPHostControl over SOAP/HTTP
1129,saphostctrls,"tcp, udp",SAPHostControl over SOAP/HTTPS
1130,casp,"tcp, udp",CAC App Service Protocol
1131,caspssl,"tcp, udp",CAC App Service Protocol Encripted
1132,kvm-via-ip,"tcp, udp",KVM-via-IP Management Service
1133,dfn,"tcp, udp",Data Flow Network
1134,aplx,"tcp, udp",MicroAPL APLX
1135,omnivision,"tcp, udp",OmniVision Communication Service
1136,hhb-gateway,"tcp, udp",HHB Gateway Control
1137,trim,"tcp, udp",TRIM Workgroup Service
1138,"encrypted_admin, encrypted-admin","tcp, udp","encrypted admin requests, encrypted admin requests
IANA assigned this well-formed service name as a replacement for ""encrypted_admin""."
1139,evm,"tcp, udp",Enterprise Virtual Manager
1140,autonoc,"tcp, udp",AutoNOC Network Operations Protocol
1141,mxomss,"tcp, udp",User Message Service
1142,edtools,"tcp, udp",User Discovery Service
1143,imyx,"tcp, udp",Infomatryx Exchange
1144,fuscript,"tcp, udp",Fusion Script
1145,x9-icue,"tcp, udp",X9 iCue Show Control
1146,audit-transfer,"tcp, udp",audit transfer
1147,capioverlan,"tcp, udp",CAPIoverLAN
1148,elfiq-repl,"tcp, udp",Elfiq Replication Service
1149,bvtsonar,"tcp, udp",BlueView Sonar Service
1150,blaze,"tcp, udp",Blaze File Server
1151,unizensus,"tcp, udp",Unizensus Login Server
1152,winpoplanmess,"tcp, udp",Winpopup LAN Messenger
1153,c1222-acse,"tcp, udp",ANSI C12.22 Port
1154,resacommunity,"tcp, udp",Community Service
1155,nfa,"tcp, udp",Network File Access
1156,iascontrol-oms,"tcp, udp",iasControl OMS
1157,iascontrol,"tcp, udp",Oracle iASControl
1158,dbcontrol-oms,"tcp, udp",dbControl OMS
1159,oracle-oms,"tcp, udp",Oracle OMS
1160,olsv,"tcp, udp",DB Lite Mult-User Server
1161,health-polling,"tcp, udp",Health Polling
1162,health-trap,"tcp, udp",Health Trap
1163,sddp,"tcp, udp",SmartDialer Data Protocol
1164,qsm-proxy,"tcp, udp",QSM Proxy Service
1165,qsm-gui,"tcp, udp",QSM GUI Service
1166,qsm-remote,"tcp, udp",QSM RemoteExec
1167,cisco-ipsla,"sctp, tcp, udp",Cisco IP SLAs Control Protocol
1168,vchat,"tcp, udp",VChat Conference Service
1169,tripwire,"tcp, udp",TRIPWIRE
1170,atc-lm,"tcp, udp",AT+C License Manager
1171,atc-appserver,"tcp, udp",AT+C FmiApplicationServer
1172,dnap,"tcp, udp",DNA Protocol
1173,d-cinema-rrp,"tcp, udp",D-Cinema Request-Response
1174,fnet-remote-ui,"tcp, udp",FlashNet Remote Admin
1175,dossier,"tcp, udp",Dossier Server
1176,indigo-server,"tcp, udp",Indigo Home Server
1177,dkmessenger,"tcp, udp",DKMessenger Protocol
1178,sgi-storman,"tcp, udp",SGI Storage Manager
1179,b2n,"tcp, udp",Backup To Neighbor
1180,mc-client,"tcp, udp",Millicent Client Proxy
1181,3comnetman,"tcp, udp",3Com Net Management
1182,"accelenet-data, accelenet","tcp, udp","AcceleNet Control, AcceleNet Data"
1183,llsurfup-http,"tcp, udp",LL Surfup HTTP
1184,llsurfup-https,"tcp, udp",LL Surfup HTTPS
1185,catchpole,"tcp, udp",Catchpole port
1186,mysql-cluster,"tcp, udp",MySQL Cluster Manager
1187,alias,"tcp, udp",Alias Service
1188,hp-webadmin,"tcp, udp",HP Web Admin
1189,unet,"tcp, udp",Unet Connection
1190,commlinx-avl,"tcp, udp",CommLinx GPS / AVL System
1191,gpfs,"tcp, udp",General Parallel File System
1192,caids-sensor,"tcp, udp",caids sensors channel
1193,fiveacross,"tcp, udp",Five Across Server
1194,openvpn,"tcp, udp",OpenVPN
1195,rsf-1,"tcp, udp",RSF-1 clustering
1196,netmagic,"tcp, udp",Network Magic
1197,carrius-rshell,"tcp, udp",Carrius Remote Access
1198,cajo-discovery,"tcp, udp",cajo reference discovery
1199,dmidi,"tcp, udp",DMIDI
1200,scol,"tcp, udp",SCOL
1201,nucleus-sand,"tcp, udp",Nucleus Sand Database Server
1202,caiccipc,"tcp, udp",caiccipc
1203,ssslic-mgr,"tcp, udp",License Validation
1204,ssslog-mgr,"tcp, udp",Log Request Listener
1205,accord-mgc,"tcp, udp",Accord-MGC
1206,anthony-data,"tcp, udp",Anthony Data
1207,metasage,"tcp, udp",MetaSage
1208,seagull-ais,"tcp, udp",SEAGULL AIS
1209,ipcd3,"tcp, udp",IPCD3
1210,eoss,"tcp, udp",EOSS
1211,groove-dpp,"tcp, udp",Groove DPP
1212,lupa,"tcp, udp",lupa
1213,mpc-lifenet,"tcp, udp",Medtronic/Physio-Control LIFENET
1214,kazaa,"tcp, udp",KAZAA
1215,scanstat-1,"tcp, udp",scanSTAT 1.0
1216,etebac5,"tcp, udp",ETEBAC 5
1217,hpss-ndapi,"tcp, udp",HPSS NonDCE Gateway
1218,aeroflight-ads,"tcp, udp",AeroFlight-ADs
1219,aeroflight-ret,"tcp, udp",AeroFlight-Ret
1220,qt-serveradmin,"tcp, udp",QT SERVER ADMIN
1221,sweetware-apps,"tcp, udp",SweetWARE Apps
1222,nerv,"tcp, udp",SNI R&D network
1223,tgp,"tcp, udp",TrulyGlobal Protocol
1224,vpnz,"tcp, udp",VPNz
1225,slinkysearch,"tcp, udp",SLINKYSEARCH
1226,stgxfws,"tcp, udp",STGXFWS
1227,dns2go,"tcp, udp",DNS2Go
1228,florence,"tcp, udp",FLORENCE
1229,zented,"tcp, udp",ZENworks Tiered Electronic Distribution
1230,periscope,"tcp, udp",Periscope
1231,menandmice-lpm,"tcp, udp",menandmice-lpm
1232,first-defense,"tcp, udp",Remote systems monitoring
1233,univ-appserver,"tcp, udp",Universal App Server
1234,search-agent,"tcp, udp",Infoseek Search Agent
1235,mosaicsyssvc1,"tcp, udp",mosaicsyssvc1
1236,bvcontrol,"tcp, udp",bvcontrol
1237,tsdos390,"tcp, udp",tsdos390
1238,hacl-qs,"tcp, udp",hacl-qs
1239,nmsd,"tcp, udp",NMSD
1240,instantia,"tcp, udp",Instantia
1241,nessus,"tcp, udp",nessus
1242,nmasoverip,"tcp, udp",NMAS over IP
1243,serialgateway,"tcp, udp",SerialGateway
1244,isbconference1,"tcp, udp",isbconference1
1245,isbconference2,"tcp, udp",isbconference2
1246,payrouter,"tcp, udp",payrouter
1247,visionpyramid,"tcp, udp",VisionPyramid
1248,hermes,"tcp, udp",hermes
1249,mesavistaco,"tcp, udp",Mesa Vista Co
1250,swldy-sias,"tcp, udp",swldy-sias
1251,servergraph,"tcp, udp",servergraph
1252,bspne-pcc,"tcp, udp",bspne-pcc
1253,q55-pcc,"tcp, udp",q55-pcc
1254,de-noc,"tcp, udp",de-noc
1255,de-cache-query,"tcp, udp",de-cache-query
1256,de-server,"tcp, udp",de-server
1257,shockwave2,"tcp, udp",Shockwave 2
1258,opennl,"tcp, udp",Open Network Library
1259,opennl-voice,"tcp, udp",Open Network Library Voice
1260,ibm-ssd,"tcp, udp",ibm-ssd
1261,mpshrsv,"tcp, udp",mpshrsv
1262,qnts-orb,"tcp, udp",QNTS-ORB
1263,dka,"tcp, udp",dka
1264,prat,"tcp, udp",PRAT
1265,dssiapi,"tcp, udp",DSSIAPI
1266,dellpwrappks,"tcp, udp",DELLPWRAPPKS
1267,epc,"tcp, udp",eTrust Policy Compliance
1268,propel-msgsys,"tcp, udp",PROPEL-MSGSYS
1269,watilapp,"tcp, udp",WATiLaPP
1270,opsmgr,"tcp, udp",Microsoft Operations Manager
1271,excw,"tcp, udp",eXcW
1272,cspmlockmgr,"tcp, udp",CSPMLockMgr
1273,emc-gateway,"tcp, udp",EMC-Gateway
1274,t1distproc,"tcp, udp",t1distproc
1275,ivcollector,"tcp, udp",ivcollector
1277,miva-mqs,"tcp, udp",mqs
1278,dellwebadmin-1,"tcp, udp",Dell Web Admin 1
1279,dellwebadmin-2,"tcp, udp",Dell Web Admin 2
1280,pictrography,"tcp, udp",Pictrography
1281,healthd,"tcp, udp",healthd
1282,emperion,"tcp, udp",Emperion
1283,productinfo,"tcp, udp",Product Information
1284,iee-qfx,"tcp, udp",IEE-QFX
1285,neoiface,"tcp, udp",neoiface
1286,netuitive,"tcp, udp",netuitive
1287,routematch,"tcp, udp",RouteMatch Com
1288,navbuddy,"tcp, udp",NavBuddy
1289,jwalkserver,"tcp, udp",JWalkServer
1290,winjaserver,"tcp, udp",WinJaServer
1291,seagulllms,"tcp, udp",SEAGULLLMS
1292,dsdn,"tcp, udp",dsdn
1293,pkt-krb-ipsec,"tcp, udp",PKT-KRB-IPSec
1294,cmmdriver,"tcp, udp",CMMdriver
1295,ehtp,"tcp, udp",End-by-Hop Transmission Protocol
1296,dproxy,"tcp, udp",dproxy
1297,sdproxy,"tcp, udp",sdproxy
1298,lpcp,"tcp, udp",lpcp
1299,hp-sci,"tcp, udp",hp-sci
1300,h323hostcallsc,"tcp, udp",H.323 Secure Call Control Signalling
1303,sftsrv,"tcp, udp",sftsrv
1304,boomerang,"tcp, udp",Boomerang
1305,pe-mike,"tcp, udp",pe-mike
1306,re-conn-proto,"tcp, udp",RE-Conn-Proto
1307,pacmand,"tcp, udp",Pacmand
1308,odsi,"tcp, udp",Optical Domain Service Interconnect (ODSI)
1309,jtag-server,"tcp, udp",JTAG server
1310,husky,"tcp, udp",Husky
1311,rxmon,"tcp, udp",RxMon
1312,sti-envision,"tcp, udp",STI Envision
1313,"bmc-patroldb, bmc_patroldb","tcp, udp","BMC_PATROLDB
IANA assigned this well-formed service name as a replacement for ""bmc_patroldb""., BMC_PATROLDB"
1314,pdps,"tcp, udp",Photoscript Distributed Printing System
1315,els,"tcp, udp","E.L.S., Event Listener Service"
1316,exbit-escp,"tcp, udp",Exbit-ESCP
1317,vrts-ipcserver,"tcp, udp",vrts-ipcserver
